route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seats_available
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari?fromCityId=74699&toCityId=80302&fromCityName=Patna&toCityName=Motihari&busType=Any&onward=25-Mar-2025,Bihar state road transport corporation (BSRTC) - 181063,Non AC Seater (2+2),21:20,04h 10m,01:30,0.0,230.0,19
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna?fromCityId=82458&toCityId=74699&fromCityName=Bettiah&toCityName=Patna&busType=Any&onward=25-Mar-2025,Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,05h 30m,02:00,0.0,285.0,25
